,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
415,6,6,3,6,2,3,0,0,3,0,3,4,8,0,8,5,50,30
416,5,6,8,5,5,2,3,5,8,4,2,3,8,3,9,5,32,6
417,2,2,7,3,7,5,3,4,9,4,3,6,7,3,9,5,29,7
418,7,7,6,7,6,4,5,2,7,2,3,6,3,2,8,5,13,12
419,7,7,4,5,2,1,1,1,6,0,2,2,2,3,7,5,50,12
420,6,5,5,6,4,3,2,1,6,1,4,5,8,3,8,5,16,11
421,3,2,6,3,8,8,3,3,8,3,7,8,6,3,7,5,5,11
422,2,2,3,4,6,8,0,0,3,0,5,4,7,0,6,5,47,11
423,6,6,6,5,4,2,3,4,7,3,4,5,5,3,7,5,16,10
424,3,4,6,5,7,6,3,4,8,2,2,6,8,3,6,5,50,7
425,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,62,0
426,4,4,7,5,8,7,4,4,8,2,4,6,8,3,7,5,29,3
427,6,6,7,5,7,6,4,3,8,4,7,7,5,3,6,5,5,6
428,0,0,6,1,8,8,1,4,9,1,7,8,5,3,7,5,29,0
429,3,3,6,4,5,2,2,4,6,1,1,2,8,3,3,5,42,13
430,1,1,2,2,5,8,0,0,2,0,6,4,6,0,5,5,5,13
431,5,6,8,3,8,5,3,5,9,4,7,5,7,3,6,5,29,0
432,3,3,7,4,8,6,4,5,9,3,3,5,5,3,6,5,13,13
433,7,7,6,5,5,3,3,3,7,3,6,3,3,2,8,5,13,4
434,5,5,3,3,6,7,1,1,6,0,8,6,7,3,7,5,13,11
435,6,6,7,4,7,5,3,3,8,4,8,3,8,3,6,5,13,11
436,7,7,7,6,6,3,4,4,8,4,5,2,4,2,8,5,1,3
437,6,6,7,4,6,2,3,5,8,3,6,4,3,3,8,5,19,11
438,7,7,7,5,6,4,3,3,7,3,6,3,4,3,9,5,0,4
439,6,6,7,5,6,3,4,4,8,4,5,4,5,3,8,5,13,12
440,7,7,7,6,4,2,5,4,8,3,3,3,3,2,9,5,29,5
441,5,7,8,7,8,7,5,5,9,4,2,7,8,3,9,5,23,7
442,4,4,6,4,5,3,3,2,8,3,3,4,8,3,9,5,16,7
443,2,2,2,2,1,1,0,0,2,0,1,1,6,0,8,1,50,17
444,3,3,1,2,2,7,0,0,2,0,8,7,6,0,7,1,50,1
445,3,4,8,2,8,7,2,5,9,4,8,8,6,3,8,1,1,22
446,3,3,2,4,2,6,0,0,2,0,3,5,8,0,6,1,50,1
447,4,3,8,1,8,7,1,5,9,0,8,6,5,3,5,1,50,3
448,2,1,8,3,8,8,2,5,9,3,8,8,6,3,8,1,26,2
449,5,4,6,4,7,5,3,3,8,3,6,2,7,3,7,1,1,4
450,6,5,4,2,1,1,1,1,5,0,1,1,6,3,7,1,16,11
451,4,3,7,3,8,8,2,3,7,4,7,8,7,3,3,1,1,2
452,4,3,8,3,8,8,3,5,9,4,8,8,7,3,4,1,1,4
453,3,3,8,3,8,7,2,5,9,1,7,6,6,3,5,1,53,2
454,1,1,8,4,8,8,3,5,9,2,6,8,7,3,8,1,4,3
455,5,5,8,6,7,7,3,4,7,4,3,6,8,3,8,1,29,5
456,7,8,3,5,3,3,0,0,5,0,6,5,5,0,4,1,53,3
457,6,6,8,5,8,4,1,5,7,0,5,2,4,3,3,1,35,3
